Column1,Manufacturer Name,Brand Name,Model Number,Refrig Style,Refrig Defrost Type,Refrigerator Type,Refrig Access,Anti Sweat Heater Switch (T/F),Refrigerant Type,Fresh Food Volume Cu Ft,Freezer Volume Cu Ft,Total Volume Cu Ft,Height Inches,Width Inches,Depth Inches,Annual Energy UseK WH Yr,Add Date,
79032,AGA Marvel,D.C.S.,RF24D*,Single Door,Automatic,Refrigerator,Drawer,False,Non-Ozone-Depleting,5.84,,5.84,34,24,25,400.52,8/3/2011 12:00:00 AM,
79031,AGA Marvel,D.C.S.,RF24RE2,Single Door,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,5.93,,5.93,34,24,25,317.43,8/3/2011 12:00:00 AM,
79033,AGA Marvel,D.C.S.,RF24T*,Single Door,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,6.54,,6.54,34,24,25,399.88,8/3/2011 12:00:00 AM,
79019,AGA Marvel,Marvel,30AR****,Single Door,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,2.90,,2.90,35,15,24,336.77,8/3/2011 12:00:00 AM,
78938,AGA Marvel,Marvel,30WCM***,Wine Chiller,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,2.86,,2.86,34,15,24,344.75,7/27/2011 12:00:00 AM,
78943,AGA Marvel,Marvel,3BARE***,Wine Chiller,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,3.10,,3.10,34,15,24,277.17,7/27/2011 12:00:00 AM,
78944,AGA Marvel,Marvel,3BARM***,Wine Chiller,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,3.07,,3.07,34,15,24,305.98,7/27/2011 12:00:00 AM,
78935,AGA Marvel,Marvel,3SWCE***,Wine Chiller,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,2.81,,2.81,34,15,24,252.41,7/27/2011 12:00:00 AM,
79025,AGA Marvel,Marvel,60RDE****,Drawer Unit,Automatic,Refrigerator,Drawer,False,Non-Ozone-Depleting,5.84,,5.84,34,24,25,400.52,8/3/2011 12:00:00 AM,
79021,AGA Marvel,Marvel,61ARM***,Single Door,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,5.93,,5.93,34,24,25,300.66,8/3/2011 12:00:00 AM,
79022,AGA Marvel,Marvel,61ARMB***,Single Door,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,5.93,,5.93,34,24,25,315.16,8/3/2011 12:00:00 AM,
78948,AGA Marvel,Marvel,61BARMP*,Wine Chiller,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,6.39,,6.39,34,24,24,374.48,7/27/2011 12:00:00 AM,
79027,AGA Marvel,Marvel,61HK*,Single Door,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,6.54,,6.54,34,24,25,399.88,8/3/2011 12:00:00 AM,
78939,AGA Marvel,Marvel,61WCM***,Wine Chiller,Automatic,Refrigerator,Door,False,Non-Ozone-Depleting,6.36,,6.36,34,24,24,399.72,7/27/2011 12:00:00 AM,
