Column1,Manufacturer Name,Brand Name,Model Number,Boiler Type,Energy Source,Burner Type,Pilot Light (T/F),Outdoor Install (T/F),Electrical Phase,Draft Equipment,Off Cycle Devices,Flue Gas,Control,Boiler Design,Pump Motor Design,Nominal Pump Motor HP,Pump Motor Type,Pump Motor Power Factor %,Name Plate Input BTUH,Rated Max Output BTUH,Min Input BTUH,Min Output BTUH,Combustion Efficiency,Thermal Efficiency,Standby Loss Watts,Minimum Thermal Efficiency,Annual Fuel Utilization Eff. (AFUE),Add Date,
54133,A O Smith Water Products,A O Smith Water Products,DB-1480,Water,Natural Gas,Injection Type,False,False,1,Draft Diverter,None,Non-Condensing,Single-Stage,Copper,,,,,1480000,1184000,,,80.0,80.0,,,,12/12/2007 12:00:00 AM,
54134,A O Smith Water Products,A O Smith Water Products,DB-1610,Water,Natural Gas,Injection Type,False,False,1,Draft Diverter,None,Non-Condensing,Single-Stage,Copper,,,,,1610000,1288000,,,80.0,80.0,,,,12/12/2007 12:00:00 AM,
54135,A O Smith Water Products,A O Smith Water Products,DB-1810,Water,Natural Gas,Injection Type,False,False,1,Draft Diverter,None,Non-Condensing,Single-Stage,Copper,,,,,1810000,1448000,,,80.0,80.0,,,,12/12/2007 12:00:00 AM,
54137,A O Smith Water Products,A O Smith Water Products,HW-670,Water,LPG,Injection Type,False,False,1,Draft Hood,None,Non-Condensing,Single-Stage,Copper,,,,,660000,544000,,,80.0,80.0,,,,12/12/2007 12:00:00 AM,
54136,A O Smith Water Products,A O Smith Water Products,HW-670,Water,Natural Gas,Injection Type,False,False,1,Draft Hood,None,Non-Condensing,Single-Stage,Copper,,,,,660000,544000,,,80.0,80.0,,,,12/12/2007 12:00:00 AM,
61271,A O Smith Water Products,A O Smith Water Products,VB 1000,Water,LPG,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,1000000,830000,250000,220000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61270,A O Smith Water Products,A O Smith Water Products,VB 1000,Water,Natural Gas,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,1000000,830000,250000,220000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61273,A O Smith Water Products,A O Smith Water Products,VB 1500,Water,LPG,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,1500000,1260000,375000,330000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61272,A O Smith Water Products,A O Smith Water Products,VB 1500,Water,Natural Gas,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,1500000,1260000,375000,330000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61275,A O Smith Water Products,A O Smith Water Products,VB 2000,Water,LPG,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,2000000,1680000,500000,440000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61274,A O Smith Water Products,A O Smith Water Products,VB 2000,Water,Natural Gas,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,2000000,1680000,500000,440000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61277,A O Smith Water Products,A O Smith Water Products,VB 500,Water,LPG,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,500000,413000,125000,110000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61276,A O Smith Water Products,A O Smith Water Products,VB 500,Water,Natural Gas,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,500000,413000,125000,110000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61279,A O Smith Water Products,A O Smith Water Products,VB 750,Water,LPG,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,750000,619000,188000,165000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61278,A O Smith Water Products,A O Smith Water Products,VB 750,Water,Natural Gas,Induced Draft,False,False,1,None,None,Non-Condensing,Step Modulating,Copper,,,,,750000,619000,188000,165000,84.0,82.0,,,,8/2/2011 12:00:00 AM,
61997,A O Smith Water Products,A O Smith Water Products,XB 1000,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,920000,855000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
61969,A O Smith Water Products,A O Smith Water Products,XB 1000,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,920000,855000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
61999,A O Smith Water Products,A O Smith Water Products,XB 1300,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,1300000,1209000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
61998,A O Smith Water Products,A O Smith Water Products,XB 1300,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,1300000,1209000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62001,A O Smith Water Products,A O Smith Water Products,XB 1700,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,1700000,1581000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62000,A O Smith Water Products,A O Smith Water Products,XB 1700,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,1700000,1581000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62003,A O Smith Water Products,A O Smith Water Products,XB 2000,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,2000000,1860000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62002,A O Smith Water Products,A O Smith Water Products,XB 2000,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,2000000,1860000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62005,A O Smith Water Products,A O Smith Water Products,XB 2600,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,2600000,2418000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62004,A O Smith Water Products,A O Smith Water Products,XB 2600,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,2600000,2418000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62007,A O Smith Water Products,A O Smith Water Products,XB 3400,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,3400000,3162000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62006,A O Smith Water Products,A O Smith Water Products,XB 3400,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,,,,,3400000,3162000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62009,A O Smith Water Products,A O Smith Water Products,XW 1000,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,920000,855000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62008,A O Smith Water Products,A O Smith Water Products,XW 1000,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,920000,855000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62011,A O Smith Water Products,A O Smith Water Products,XW 1300,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,1300000,1209000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62010,A O Smith Water Products,A O Smith Water Products,XW 1300,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,1300000,1209000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62013,A O Smith Water Products,A O Smith Water Products,XW 1700,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Single-Stage,Other,Single-Speed,,Standard,,1700000,1581000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62012,A O Smith Water Products,A O Smith Water Products,XW 1700,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Single-Stage,Other,Single-Speed,,Standard,,1700000,1581000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62015,A O Smith Water Products,A O Smith Water Products,XW 2000,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,2000000,1860000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62014,A O Smith Water Products,A O Smith Water Products,XW 2000,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,2000000,1860000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62017,A O Smith Water Products,A O Smith Water Products,XW 2600,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,2600000,2418000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62016,A O Smith Water Products,A O Smith Water Products,XW 2600,Water,Natural Gas,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,2600000,2418000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
62019,A O Smith Water Products,A O Smith Water Products,XW 3400,Water,LPG,Induced Draft,False,False,1,None,None,Condensing,Step Modulating,Other,Single-Speed,,Standard,,3400000,3162000,,,94.4,93.0,,,,8/22/2011 12:00:00 AM,
