Column1,"Manufacturer Name","Brand Name","Model Number","LED Type","Hybrid Luminaire (T/F)","High-Efficacy Hybrid Luminaire (T/F)","Maximum Rated Wattage","System Efficacy (LPW)","Labeled With Rated Wattage (T/F)","Add Date"
1155,"Acuity Brands Lighting","Lithonia Lighting","L7XLED T24*****",Luminaire,FALSE,,12,51,TRUE,2010/10/07
1154,"Acuity Brands Lighting","Lithonia Lighting","REAL6 D6*****","Light Engine",FALSE,,12,51,TRUE,2010/10/07
5215,"Acuity Brands Lighting","Lithonia Lighting","UCLD 12 **",Luminaire,FALSE,,5,43,TRUE,2012/01/20
5216,"Acuity Brands Lighting","Lithonia Lighting","UCLD 18 **",Luminaire,FALSE,,9,44,TRUE,2012/01/20
5217,"Acuity Brands Lighting","Lithonia Lighting","UCLD 24 **",Luminaire,FALSE,,12,43,TRUE,2012/01/20
2865,"Aion LED","Aion LED",3000-WW32-**,Luminaire,FALSE,,2,82,TRUE,2011/10/03
2866,"Aion LED","Aion LED",3000-XW28-**,Luminaire,FALSE,,2,84,TRUE,2011/10/03
2858,"Aion LED","Aion LED",4000-PW43-**,Luminaire,FALSE,,3,85,TRUE,2011/10/03
2857,"Aion LED","Aion LED",4000-PW60-**,Luminaire,FALSE,,3,83,TRUE,2011/10/03
2733,"Aion LED","Aion LED",4000-PW60-PS,Luminaire,FALSE,,3,83,TRUE,2011/05/24
2859,"Aion LED","Aion LED",4000-WW32-**,Luminaire,FALSE,,3,78,TRUE,2011/10/03
2861,"Aion LED","Aion LED",4000-XW26-**,Luminaire,FALSE,,3,73,TRUE,2011/10/03
2860,"Aion LED","Aion LED",4000-XW28-**,Luminaire,FALSE,,3,84,TRUE,2011/10/03
2863,"Aion LED","Aion LED",7000-PW43-**,Luminaire,FALSE,,4,89,TRUE,2011/10/03
2862,"Aion LED","Aion LED",7000-PW60-**,Luminaire,FALSE,,4,87,TRUE,2011/10/03
2864,"Aion LED","Aion LED",7000-WW32-**,Luminaire,FALSE,,4,85,TRUE,2011/10/03
2834,Alva,Alva,Betty2700,"Light Engine",FALSE,,20,59,TRUE,2011/09/07
2265,"American Fluorescent","American Fluorescent",L606M30*1D-6WRWT,Luminaire,FALSE,,14,42,TRUE,2011/03/07
93,"BK Lighting","BK Lighting",AR-LED-RM-e23-******,Luminaire,FALSE,,8,44,TRUE,2010/02/04
92,"BK Lighting","BK Lighting",AR-LED-TR-e23-******,Luminaire,FALSE,,8,44,TRUE,2010/02/04
101,"BK Lighting","BK Lighting",AW-LED-e23-***,Luminaire,FALSE,,8,44,TRUE,2010/02/04
94,"BK Lighting","BK Lighting",DS-LED-e23-****,Luminaire,FALSE,,8,44,TRUE,2010/02/04
107,"BK Lighting","BK Lighting",EC-LED-e23-****,Luminaire,FALSE,,8,44,TRUE,2010/02/04
108,"BK Lighting","BK Lighting",ED-LED-e23-****,Luminaire,FALSE,,8,44,TRUE,2010/02/04
105,"BK Lighting","BK Lighting",GD-LED-e23-***,Luminaire,FALSE,,8,44,TRUE,2010/02/04
106,"BK Lighting","BK Lighting",GQ-LED-e23-***,Luminaire,FALSE,,8,44,TRUE,2010/02/04
91,"BK Lighting","BK Lighting",NS-LED-e23-***,Luminaire,FALSE,,8,44,TRUE,2010/02/04
95,"BK Lighting","BK Lighting",RM-LED-e23-****,Luminaire,FALSE,,8,44,TRUE,2010/02/04
98,"BK Lighting","BK Lighting",SF-LED-e23-*****,Luminaire,FALSE,,8,44,TRUE,2010/02/04
